S.No.,College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
429,Tier 1,Executive,Non-Metro,36990,2,43,21,65008.01814
430,Tier 3,Executive,Non-Metro,56116,1,67,27,84698.84786
431,Tier 1,Executive,Metro,62878,2,47,19,97088.21402
432,Tier 3,Executive,Non-Metro,42736,3,64,29,60591.81302
433,Tier 1,Executive,Metro,55608,1,78,42,70832.22639
434,Tier 1,Executive,Non-Metro,59842,4,46,60,71889.51369
435,Tier 3,Executive,Metro,56444,3,45,31,73635.67201
436,Tier 2,Executive,Metro,53316,1,48,60,70999.9178
437,Tier 1,Executive,Metro,53856,2,75,22,66756.42069
438,Tier 1,Executive,Metro,54873,2,58,35,72489.65408
439,Tier 2,Executive,Non-Metro,68315,3,79,52,81832.10318
440,Tier 1,Executive,Metro,52544,1,42,26,73939.42398
441,Tier 3,Executive,Non-Metro,57189,3,47,31,66790.50126
442,Tier 1,Manager,Non-Metro,57695,2,55,33,96600.42026
443,Tier 2,Executive,Metro,68011,2,70,18,53020.31903
444,Tier 2,Executive,Non-Metro,64691,2,44,59,80588.66884
445,Tier 3,Manager,Metro,53910,3,75,56,90228.62518
446,Tier 1,Executive,Non-Metro,60907,2,57,45,79263.08925
447,Tier 1,Executive,Metro,54327,2,64,60,88561.51351
448,Tier 3,Executive,Non-Metro,46538,1,53,56,62424.16233
449,Tier 1,Executive,Non-Metro,52796,2,79,40,65442.63111
450,Tier 1,Executive,Metro,64231,1,75,35,66671.19081
451,Tier 1,Executive,Metro,59444,3,59,39,76341.12712
452,Tier 3,Executive,Metro,49831,3,63,30,73782.53704
453,Tier 1,Executive,Metro,45913,3,75,24,69436.16965
454,Tier 3,Executive,Metro,52310,4,47,20,56862.73903
455,Tier 2,Executive,Metro,69868,4,55,32,79427.58168
456,Tier 1,Executive,Metro,60939,1,74,59,91681.45038
457,Tier 2,Executive,Non-Metro,57469,3,45,55,77103.63016
458,Tier 3,Executive,Non-Metro,52571,3,72,57,66313.95368
459,Tier 1,Executive,Metro,67425,1,59,56,82675.11143
460,Tier 2,Executive,Non-Metro,59817,1,78,40,67427.14409
461,Tier 2,Executive,Non-Metro,65657,3,83,49,76090.00718
462,Tier 1,Manager,Metro,50292,1,49,42,85106.53114
463,Tier 1,Executive,Non-Metro,60081,2,41,62,75901.99051
464,Tier 1,Executive,Metro,52897,4,49,56,82030.46172
465,Tier 3,Executive,Metro,52642,1,84,19,63601.24461
466,Tier 2,Manager,Non-Metro,50843,3,45,30,67351.02288
467,Tier 1,Executive,Non-Metro,56192,2,50,60,81955.26302
468,Tier 3,Executive,Non-Metro,58100,4,67,56,67700.67024
469,Tier 1,Executive,Non-Metro,47928,3,83,28,92828.33435
470,Tier 2,Executive,Non-Metro,50000,4,37,18,64431.36681
471,Tier 2,Executive,Metro,59968,3,85,27,55221.35838
472,Tier 1,Executive,Non-Metro,57102,3,49,18,66958.60141
473,Tier 1,Executive,Non-Metro,51617,3,47,19,71871.00507
474,Tier 1,Executive,Non-Metro,57304,2,85,47,93477.16505
475,Tier 1,Manager,Metro,53736,4,45,54,79771.46399
476,Tier 3,Manager,Metro,51073,2,45,61,86575.64706
477,Tier 1,Manager,Metro,50138,3,70,24,95813.53127
478,Tier 3,Executive,Metro,63654,2,56,25,75793.14006
479,Tier 2,Executive,Metro,57408,1,83,21,56636.897
480,Tier 2,Executive,Metro,55569,4,69,23,65668.71854
481,Tier 3,Executive,Metro,63988,2,79,63,80614.98142
482,Tier 2,Executive,Metro,61721,2,45,49,70220.51675
483,Tier 2,Executive,Non-Metro,59669,2,81,18,53921.10989
484,Tier 1,Executive,Non-Metro,65851,2,60,51,75572.87711
485,Tier 1,Executive,Metro,62411,4,42,48,77207.6997
486,Tier 1,Executive,Non-Metro,55412,1,68,31,60710.05942
487,Tier 3,Executive,Non-Metro,43715,1,78,54,75143.25118
488,Tier 1,Executive,Metro,54231,1,62,19,76382.82036
489,Tier 2,Manager,Non-Metro,64433,3,46,44,111735.7598
490,Tier 3,Executive,Metro,55232,1,80,53,65540.32297
491,Tier 1,Executive,Non-Metro,61583,3,52,19,67531.15496
492,Tier 2,Executive,Non-Metro,46532,2,83,61,75598.31506
493,Tier 1,Executive,Non-Metro,53540,1,67,18,69264.00119
494,Tier 1,Executive,Metro,64566,3,81,61,89477.53869
495,Tier 1,Manager,Metro,48681,4,81,21,82925.11795
496,Tier 1,Executive,Metro,56554,1,74,20,76083.29728
497,Tier 1,Executive,Non-Metro,51206,3,53,31,68596.7392
498,Tier 1,Executive,Metro,52435,1,55,45,74170.1297
499,Tier 2,Executive,Non-Metro,50155,4,39,44,59306.19076
500,Tier 1,Executive,Non-Metro,64187,4,39,62,67432.58958
501,Tier 1,Manager,Metro,59413,1,82,29,95450.98208
502,Tier 1,Executive,Metro,46707,3,47,43,72730.05404
503,Tier 2,Manager,Metro,47277,3,59,51,83631.77012
504,Tier 2,Manager,Metro,58500,2,35,19,96401.16401
505,Tier 2,Executive,Non-Metro,57730,3,77,38,64151.36984
506,Tier 3,Executive,Metro,51923,2,62,37,78114.29448
507,Tier 3,Executive,Metro,51612,2,37,22,60924.86287
508,Tier 3,Executive,Metro,43980,3,77,21,71338.38628
509,Tier 1,Executive,Non-Metro,45394,4,60,24,65139.48509
510,Tier 1,Executive,Non-Metro,55176,4,35,57,69100.4586
511,Tier 1,Executive,Metro,56245,2,45,56,86927.8587
512,Tier 2,Executive,Metro,59043,2,49,27,69219.32578
513,Tier 1,Executive,Metro,48766,4,37,51,73707.10083
514,Tier 1,Executive,Metro,58626,4,61,19,76788.27179
515,Tier 1,Manager,Metro,52001,2,49,39,85600.10098
516,Tier 1,Executive,Metro,59352,4,43,58,85744.03699
517,Tier 2,Executive,Metro,64052,3,52,20,91330.56848
518,Tier 3,Executive,Metro,57344,4,38,45,68928.9646
519,Tier 1,Executive,Non-Metro,54246,1,64,35,71387.97675
520,Tier 1,Executive,Metro,51942,3,44,31,66988.10173
521,Tier 1,Executive,Non-Metro,56726,2,58,50,92894.4363
522,Tier 2,Executive,Non-Metro,67851,3,37,32,67278.34894
523,Tier 1,Executive,Non-Metro,62959,3,49,51,79975.83009
524,Tier 2,Executive,Non-Metro,60621,1,56,38,61501.13505
525,Tier 2,Manager,Metro,53839,4,67,42,100719.013
526,Tier 2,Executive,Non-Metro,59229,3,85,18,61871.80276
527,Tier 3,Executive,Non-Metro,54598,4,42,19,74819.08563
528,Tier 1,Executive,Non-Metro,51247,4,73,51,71395.14661
529,Tier 1,Executive,Metro,69245,1,46,46,76576.49521
530,Tier 1,Executive,Metro,45520,2,75,18,59940.20361
531,Tier 2,Manager,Metro,65606,1,35,57,101280.1744
532,Tier 1,Executive,Non-Metro,59206,2,63,62,73927.15251
533,Tier 2,Executive,Metro,50418,4,84,59,82172.24002
534,Tier 2,Executive,Metro,62251,2,56,37,80040.48582
535,Tier 2,Executive,Metro,67078,3,62,64,81452.03864
536,Tier 1,Executive,Metro,56981,1,35,38,68630.85523
537,Tier 1,Executive,Non-Metro,64976,2,68,33,79118.63765
538,Tier 1,Executive,Non-Metro,59392,2,80,46,77197.2901
539,Tier 2,Executive,Non-Metro,52617,1,75,46,70505.64781
540,Tier 2,Executive,Metro,51484,3,51,53,87095.67469
541,Tier 1,Executive,Non-Metro,62724,1,81,34,61484.31068
542,Tier 2,Executive,Non-Metro,57844,2,42,20,65493.39464
543,Tier 2,Executive,Non-Metro,58479,1,62,63,74974.14021
544,Tier 2,Manager,Non-Metro,73856,1,75,54,121362.7297
545,Tier 3,Executive,Metro,60126,1,44,54,66575.28527
546,Tier 3,Manager,Metro,49947,2,56,49,85975.89771
547,Tier 1,Executive,Metro,63402,1,44,28,67244.49918
548,Tier 1,Executive,Non-Metro,66956,4,59,54,69163.01898
549,Tier 1,Executive,Non-Metro,50975,2,65,25,63470.5955
550,Tier 2,Manager,Non-Metro,70528,2,46,43,103308.5956
551,Tier 1,Executive,Metro,58773,3,39,63,78733.50424
552,Tier 2,Executive,Non-Metro,52160,3,40,32,59944.46767
553,Tier 1,Executive,Metro,46289,4,85,62,80727.84432
554,Tier 3,Executive,Non-Metro,60421,1,65,52,69957.72417
555,Tier 1,Executive,Non-Metro,65688,1,48,25,86779.89976
556,Tier 1,Executive,Metro,44223,1,73,28,60276.98929
557,Tier 1,Executive,Metro,57888,1,79,46,69644.5852
558,Tier 2,Executive,Metro,61457,2,37,34,62905.32533
559,Tier 3,Manager,Non-Metro,55713,1,53,35,91461.53187
560,Tier 3,Executive,Metro,56519,1,64,19,68107.12216
561,Tier 3,Executive,Non-Metro,46264,3,52,46,59944.18964
562,Tier 1,Executive,Non-Metro,61984,1,55,54,73132.19288
563,Tier 1,Executive,Metro,53585,4,83,27,66902.3543
564,Tier 2,Executive,Metro,69993,2,66,50,77519.71685
565,Tier 2,Executive,Non-Metro,55083,4,78,18,64807.83445
566,Tier 3,Executive,Non-Metro,54624,3,40,19,64539.45873
567,Tier 3,Executive,Non-Metro,69272,1,52,38,74082.96775
568,Tier 3,Executive,Metro,54790,3,37,41,74176.38334
569,Tier 1,Executive,Non-Metro,55440,1,48,49,64550.68504
570,Tier 3,Manager,Metro,64558,3,47,48,99734.64307
571,Tier 1,Executive,Non-Metro,50385,4,67,31,70422.32231
572,Tier 2,Executive,Non-Metro,61828,3,42,18,68584.06316
573,Tier 2,Executive,Non-Metro,71543,4,82,30,61366.78401
574,Tier 1,Executive,Non-Metro,60757,3,48,62,85245.00554
575,Tier 1,Executive,Non-Metro,64225,4,43,57,80470.63829
576,Tier 3,Executive,Non-Metro,55470,3,36,58,68557.78342
577,Tier 2,Executive,Metro,47049,4,65,22,57010.86344
578,Tier 1,Manager,Non-Metro,59101,3,56,31,113843.1602
579,Tier 1,Executive,Metro,55453,3,67,52,71105.70562
580,Tier 1,Executive,Non-Metro,44848,3,41,25,65897.66984
581,Tier 1,Executive,Metro,48183,4,35,59,73716.84789
582,Tier 3,Executive,Metro,52782,1,56,19,62989.37647
583,Tier 2,Executive,Metro,69431,1,49,39,66323.21745
584,Tier 2,Executive,Non-Metro,51589,4,41,32,78048.35037
585,Tier 1,Executive,Metro,48860,4,67,19,65236.1768
586,Tier 2,Executive,Non-Metro,50087,1,82,33,59009.51993
587,Tier 1,Executive,Metro,49047,3,40,21,74563.83496
588,Tier 3,Manager,Non-Metro,56231,1,74,34,92698.55904
589,Tier 1,Executive,Non-Metro,61046,4,60,61,77981.87734
590,Tier 2,Executive,Non-Metro,57851,1,79,38,61211.79394
591,Tier 1,Executive,Non-Metro,57087,4,57,58,78324.59145
592,Tier 3,Executive,Metro,48844,2,78,47,70576.10938
593,Tier 2,Executive,Metro,51214,2,54,20,59565.94106
594,Tier 1,Manager,Non-Metro,49750,4,70,21,65081.36147
595,Tier 2,Executive,Metro,68145,3,84,41,64093.95909
596,Tier 1,Executive,Non-Metro,55675,1,46,46,76864.51707
597,Tier 2,Executive,Non-Metro,53388,2,61,42,70286.84607
598,Tier 1,Executive,Non-Metro,57584,4,44,34,73572.3157
599,Tier 1,Executive,Metro,56087,3,85,43,74611.23052
600,Tier 3,Executive,Non-Metro,65165,1,79,52,100742.2946
601,Tier 2,Executive,Non-Metro,61095,1,54,18,53472.60323
602,Tier 3,Executive,Metro,55522,3,38,51,79954.36082
603,Tier 1,Executive,Non-Metro,54823,2,64,56,78933.39336
604,Tier 2,Executive,Non-Metro,62830,4,51,64,83153.12947
605,Tier 3,Manager,Non-Metro,54550,1,53,19,73581.56952
606,Tier 2,Executive,Non-Metro,54662,3,74,51,70751.48121
607,Tier 1,Executive,Non-Metro,49239,4,45,27,63459.16376
608,Tier 3,Manager,Non-Metro,53652,2,68,59,82182.85909
609,Tier 1,Executive,Metro,50659,3,63,28,77372.87862
610,Tier 1,Manager,Metro,59169,4,51,30,95875.83336
611,Tier 2,Executive,Non-Metro,56043,1,44,47,62426.38546
612,Tier 1,Executive,Non-Metro,59528,2,35,38,65621.20561
613,Tier 1,Executive,Non-Metro,54324,2,74,18,65404.56556
614,Tier 1,Executive,Non-Metro,40574,2,66,34,62314.98723
615,Tier 2,Executive,Non-Metro,60511,4,56,20,55486.61397
616,Tier 2,Manager,Non-Metro,61626,3,42,47,102099.9052
617,Tier 1,Executive,Non-Metro,56704,4,73,56,77326.30491
618,Tier 1,Manager,Metro,55507,3,68,49,81770.12552
619,Tier 2,Manager,Non-Metro,63071,2,60,19,95369.3452
620,Tier 1,Executive,Non-Metro,60356,4,51,55,77809.72221
621,Tier 1,Executive,Metro,55650,4,75,30,62505.95339
622,Tier 1,Manager,Metro,55291,3,56,37,102592.8927
623,Tier 1,Executive,Non-Metro,50234,3,42,49,75835.33824
624,Tier 1,Manager,Metro,57309,2,44,18,108840.1318
625,Tier 3,Executive,Metro,49801,1,40,59,78467.44476
626,Tier 3,Executive,Non-Metro,53160,1,46,29,62498.77508
627,Tier 1,Executive,Metro,51698,1,67,36,82885.09416
628,Tier 2,Executive,Metro,69671,3,36,33,67675.98977
629,Tier 1,Executive,Metro,62309,4,61,58,87098.07493
630,Tier 3,Manager,Non-Metro,62634,1,56,44,99438.63138
631,Tier 1,Executive,Metro,64138,4,35,53,72864.745
632,Tier 1,Executive,Metro,51339,3,75,24,72905.04707
633,Tier 2,Executive,Non-Metro,56337,3,78,29,69201.42475
634,Tier 1,Executive,Metro,47655,2,80,40,76955.42031
635,Tier 1,Executive,Metro,63372,3,43,51,82767.25436
636,Tier 1,Executive,Metro,63512,3,43,64,85418.2534
637,Tier 3,Executive,Non-Metro,47893,1,53,19,66799.88813
638,Tier 1,Executive,Non-Metro,63895,1,80,35,83672.86359
639,Tier 1,Manager,Metro,52623,1,47,39,80856.10878
640,Tier 2,Executive,Metro,58616,4,38,56,70153.22499
641,Tier 1,Executive,Metro,65363,3,79,33,73418.48089
642,Tier 3,Manager,Metro,53149,1,71,42,84130.43479
643,Tier 1,Executive,Metro,56350,4,37,61,83817.75114
644,Tier 3,Executive,Non-Metro,57901,4,82,23,70462.30151
645,Tier 2,Executive,Metro,56632,2,46,43,85006.87988
646,Tier 1,Executive,Metro,53453,1,39,48,73023.46145
647,Tier 3,Executive,Metro,53821,2,63,39,74467.29897
648,Tier 1,Executive,Non-Metro,45986,4,55,40,73401.83395
649,Tier 1,Executive,Metro,54357,3,54,18,77579.30615
650,Tier 1,Executive,Non-Metro,61409,3,77,58,78989.15858
651,Tier 2,Executive,Non-Metro,66330,4,44,49,68736.40914
652,Tier 2,Executive,Non-Metro,64649,3,47,53,79999.26288
653,Tier 2,Executive,Non-Metro,52136,4,77,48,63749.72988
654,Tier 2,Executive,Non-Metro,60103,3,74,45,74810.6588
655,Tier 2,Executive,Non-Metro,62521,1,70,59,77733.27284
656,Tier 2,Manager,Non-Metro,49103,1,80,52,81128.87705
657,Tier 1,Executive,Non-Metro,71328,1,65,26,77695.8346
658,Tier 3,Executive,Metro,58953,4,46,27,64535.00031
659,Tier 1,Executive,Non-Metro,59927,2,51,48,87640.58489
660,Tier 1,Executive,Non-Metro,49840,3,37,57,69511.74556
661,Tier 2,Executive,Metro,67431,3,46,37,66775.80465
662,Tier 2,Executive,Non-Metro,45910,3,44,57,82368.083
663,Tier 1,Executive,Non-Metro,51683,3,55,32,62070.14711
664,Tier 2,Executive,Metro,54298,4,44,18,69619.85347
665,Tier 2,Manager,Non-Metro,49209,3,59,64,78320.20744
666,Tier 2,Manager,Metro,62631,2,68,43,105727.8701
667,Tier 1,Executive,Metro,55394,1,61,49,79057.80737
668,Tier 3,Manager,Non-Metro,57876,2,39,40,99227.71424
669,Tier 1,Manager,Metro,60476,1,85,62,113212.0748
670,Tier 2,Executive,Non-Metro,53787,2,42,40,66886.62887
671,Tier 2,Executive,Metro,59116,1,81,30,63751.9964
672,Tier 1,Executive,Non-Metro,53671,2,65,29,68221.29245
673,Tier 2,Executive,Metro,55289,2,75,36,60479.66507
674,Tier 2,Executive,Non-Metro,52987,1,52,41,68586.39869
675,Tier 2,Manager,Non-Metro,71473,4,84,44,92655.27607
676,Tier 3,Executive,Metro,45893,3,70,45,66715.59976
677,Tier 2,Executive,Non-Metro,63091,3,68,55,77143.38865
678,Tier 3,Manager,Metro,56830,1,84,60,108471.6771
679,Tier 1,Executive,Metro,64221,1,55,56,91904.16503
680,Tier 3,Executive,Non-Metro,50761,2,62,49,72795.43906
681,Tier 1,Executive,Non-Metro,44663,1,61,21,67584.07114
682,Tier 1,Executive,Metro,47451,1,44,19,64086.37432
683,Tier 1,Manager,Metro,60917,3,69,39,101886.2783
684,Tier 3,Executive,Metro,47576,4,68,53,66654.11484
685,Tier 1,Executive,Non-Metro,40632,2,61,33,71017.54121
686,Tier 1,Executive,Metro,53942,1,44,53,79333.45634
687,Tier 1,Executive,Metro,50105,4,74,42,76594.04464
688,Tier 2,Executive,Metro,63562,3,41,40,79720.01899
689,Tier 1,Executive,Non-Metro,49275,3,38,47,84809.16556
690,Tier 2,Manager,Metro,52857,2,49,27,87581.32668
691,Tier 1,Executive,Metro,52889,2,80,21,61991.1221
692,Tier 1,Executive,Metro,63893,3,73,47,79299.73641
693,Tier 3,Executive,Metro,58001,1,82,20,63021.17734
694,Tier 3,Executive,Metro,48539,2,59,24,62387.27852
695,Tier 1,Executive,Non-Metro,62261,4,39,27,59214.24588
696,Tier 3,Executive,Non-Metro,66242,2,81,26,62441.31968
697,Tier 1,Executive,Non-Metro,61262,2,82,53,91266.26922
698,Tier 2,Manager,Metro,61930,1,76,41,96932.91896
699,Tier 3,Executive,Metro,58204,2,82,56,69392.13344
700,Tier 2,Executive,Non-Metro,66907,3,64,23,70599.91483
701,Tier 2,Executive,Non-Metro,60810,4,57,21,62927.78657
702,Tier 1,Executive,Non-Metro,71549,4,47,50,83116.20711
703,Tier 2,Executive,Metro,63687,3,65,53,79063.477
704,Tier 3,Executive,Non-Metro,55575,2,76,34,66913.21723
705,Tier 3,Executive,Non-Metro,51340,3,53,47,62978.3587
706,Tier 1,Executive,Non-Metro,55989,1,61,33,73229.9984
707,Tier 2,Manager,Non-Metro,61656,3,51,51,92299.77217
708,Tier 3,Executive,Metro,53303,2,57,49,71335.90975
709,Tier 1,Executive,Non-Metro,52308,4,46,31,75515.44757
710,Tier 1,Executive,Non-Metro,50961,2,74,36,67015.8003
711,Tier 2,Executive,Metro,64693,4,64,18,57202.88903
712,Tier 2,Executive,Non-Metro,53444,3,49,50,73486.99443
713,Tier 3,Executive,Non-Metro,50977,2,39,43,69543.95176
714,Tier 1,Executive,Metro,64679,3,84,20,71605.71515
715,Tier 1,Executive,Non-Metro,46192,1,45,24,61873.12367
716,Tier 1,Executive,Metro,51157,1,74,60,86136.48185
717,Tier 3,Executive,Non-Metro,50975,1,84,49,71254.94478
718,Tier 3,Executive,Metro,44522,4,75,60,73051.32185
719,Tier 3,Executive,Non-Metro,66466,4,82,51,67802.32744
720,Tier 3,Executive,Non-Metro,57809,4,73,58,75308.27857
721,Tier 1,Executive,Non-Metro,64865,3,37,51,68233.58064
722,Tier 1,Executive,Metro,64419,3,54,53,76205.05217
723,Tier 1,Executive,Metro,61665,4,85,62,77770.16699
724,Tier 1,Executive,Metro,58401,4,48,19,65546.96272
725,Tier 1,Executive,Non-Metro,56452,3,58,50,79834.41727
726,Tier 2,Manager,Non-Metro,59079,4,83,30,89784.94559
727,Tier 3,Executive,Metro,57178,1,49,41,62471.08762
728,Tier 1,Manager,Non-Metro,43154,1,41,29,73960.6989
729,Tier 1,Executive,Non-Metro,66113,4,78,18,62118.85089
730,Tier 2,Executive,Non-Metro,61367,4,53,41,68783.96498
731,Tier 2,Manager,Metro,50269,3,59,35,74956.5172
732,Tier 1,Executive,Metro,49579,3,68,53,75501.92009
733,Tier 1,Executive,Non-Metro,59535,1,74,24,66900.02089
734,Tier 1,Executive,Non-Metro,50357,2,42,48,67920.59917
735,Tier 1,Executive,Non-Metro,59413,1,66,59,84043.42552
736,Tier 3,Executive,Non-Metro,62127,4,65,49,68574.131
737,Tier 2,Manager,Non-Metro,64762,1,63,37,89205.84491
738,Tier 1,Executive,Metro,49361,3,82,26,77401.55545
739,Tier 1,Manager,Metro,61256,2,65,23,107835.8358
740,Tier 1,Manager,Metro,63258,2,57,29,110711.6485
741,Tier 1,Executive,Metro,52271,3,77,45,76233.8337
742,Tier 2,Manager,Metro,59081,3,62,27,65293.58007
743,Tier 1,Manager,Metro,63947,4,50,53,104204.57
744,Tier 2,Executive,Non-Metro,47765,3,64,31,67385.20919
745,Tier 3,Executive,Metro,56001,3,46,50,65581.33446
746,Tier 3,Executive,Non-Metro,53097,4,75,50,59911.01633
747,Tier 1,Executive,Metro,55213,2,55,34,82878.0879
748,Tier 3,Executive,Metro,46248,4,38,19,57703.78302
749,Tier 1,Executive,Non-Metro,64931,4,70,47,73093.08809
750,Tier 3,Executive,Metro,52432,2,57,28,64475.06794
751,Tier 2,Manager,Non-Metro,46681,1,64,37,69477.90333
752,Tier 3,Executive,Metro,53992,3,72,21,63291.76938
753,Tier 3,Executive,Metro,61431,4,45,64,82384.8917
754,Tier 2,Executive,Non-Metro,43343,4,80,58,70164.11951
755,Tier 1,Executive,Metro,55168,3,82,24,78091.05473
756,Tier 1,Executive,Metro,57128,4,77,31,79414.17701
757,Tier 1,Executive,Non-Metro,49004,2,73,39,75738.92081
758,Tier 2,Manager,Non-Metro,55294,3,68,47,74594.62195
759,Tier 1,Executive,Metro,60466,2,84,30,64052.01499
760,Tier 2,Manager,Metro,68023,3,54,18,92851.94008
761,Tier 1,Executive,Non-Metro,56831,2,47,22,59150.61522
762,Tier 1,Executive,Metro,60909,3,67,23,68466.4949
763,Tier 1,Manager,Metro,54744,4,62,33,85461.75225
764,Tier 1,Executive,Metro,54660,3,43,27,75374.59854
765,Tier 1,Executive,Non-Metro,55085,1,59,45,69720.35203
766,Tier 3,Executive,Non-Metro,54021,3,60,57,74557.87817
767,Tier 1,Executive,Metro,57988,3,67,47,80463.19736
768,Tier 1,Executive,Non-Metro,53563,2,82,42,71950.14939
769,Tier 1,Executive,Non-Metro,65041,3,35,64,79054.08904
770,Tier 3,Executive,Non-Metro,49106,4,64,38,63268.58701
771,Tier 1,Executive,Metro,60296,2,56,61,96256.60097
772,Tier 1,Executive,Non-Metro,52516,2,55,53,68076.23443
773,Tier 1,Executive,Non-Metro,62913,4,55,44,81307.62639
774,Tier 3,Manager,Non-Metro,56259,2,37,19,76235.42289
775,Tier 3,Executive,Metro,58635,2,76,41,64401.60629
776,Tier 2,Executive,Metro,58393,2,54,51,81726.79964
777,Tier 3,Executive,Metro,56343,3,58,40,75930.73037
778,Tier 1,Executive,Metro,69103,3,61,45,81819.7752
779,Tier 2,Executive,Metro,56302,2,78,35,62792.65116
780,Tier 3,Executive,Metro,58682,4,56,53,73479.73895
781,Tier 1,Manager,Metro,44755,4,79,30,73291.90393
782,Tier 2,Executive,Metro,68087,2,48,18,66140.38368
783,Tier 2,Executive,Metro,61111,3,67,51,71038.65229
784,Tier 1,Manager,Non-Metro,53210,1,40,50,92436.86118
785,Tier 2,Executive,Non-Metro,56411,2,56,31,62441.05853
786,Tier 1,Executive,Non-Metro,49618,3,79,35,73044.66442
787,Tier 1,Executive,Metro,59442,2,72,60,74787.18436
788,Tier 3,Executive,Metro,61362,2,51,21,62090.11311
789,Tier 1,Executive,Metro,42655,2,70,29,71426.62526
790,Tier 2,Executive,Non-Metro,51003,4,74,62,76961.05501
791,Tier 2,Executive,Non-Metro,62984,1,38,39,72415.05498
792,Tier 1,Executive,Metro,55600,4,58,19,73330.77719
793,Tier 1,Executive,Non-Metro,52226,2,61,22,64833.38758
794,Tier 2,Manager,Metro,46979,1,66,53,75738.71621
795,Tier 3,Executive,Non-Metro,59752,3,46,39,71427.16066
796,Tier 3,Manager,Metro,49839,1,81,27,78089.71986
797,Tier 2,Executive,Metro,68797,2,79,30,71340.34136
798,Tier 1,Executive,Non-Metro,50705,3,52,30,62955.46012
799,Tier 1,Executive,Non-Metro,55987,4,50,58,69343.8868
800,Tier 1,Manager,Metro,51256,4,75,33,73503.97591
801,Tier 2,Executive,Non-Metro,51639,1,69,42,60460.06827
802,Tier 2,Executive,Non-Metro,59523,2,55,64,73467.45779
803,Tier 1,Executive,Metro,46380,1,62,21,70752.07564
804,Tier 2,Manager,Non-Metro,71123,4,57,18,100497.3148
805,Tier 2,Executive,Metro,48611,4,61,23,70232.89652
806,Tier 3,Executive,Non-Metro,57328,4,65,45,60284.57756
807,Tier 3,Executive,Non-Metro,63521,4,82,40,82780.39423
808,Tier 3,Executive,Non-Metro,57604,3,82,19,65275.61621
809,Tier 2,Executive,Metro,59305,4,78,18,74275.10208
810,Tier 1,Executive,Metro,47312,4,75,25,71026.40204
811,Tier 1,Executive,Non-Metro,54513,3,82,46,80991.20908
812,Tier 3,Executive,Non-Metro,63523,3,45,33,58048.11778
813,Tier 2,Executive,Metro,48852,1,76,54,68903.4818
814,Tier 1,Executive,Metro,44096,3,60,28,79412.81721
815,Tier 2,Executive,Metro,58892,2,79,36,65165.85851
816,Tier 2,Executive,Non-Metro,54118,2,50,20,56178.1129
817,Tier 3,Executive,Non-Metro,44960,4,42,24,61624.90053
818,Tier 1,Executive,Metro,58422,2,54,23,75585.98077
819,Tier 1,Manager,Non-Metro,49329,4,46,47,85420.68721
820,Tier 3,Manager,Non-Metro,59455,4,43,33,112797.0333
821,Tier 1,Executive,Metro,62637,2,65,45,69816.62683
822,Tier 3,Executive,Metro,45637,4,37,26,70626.09044
823,Tier 2,Executive,Non-Metro,59481,4,77,18,64189.89264
824,Tier 2,Executive,Non-Metro,57100,2,54,44,65875.30685
825,Tier 3,Executive,Metro,49702,2,85,60,76284.19207
826,Tier 1,Executive,Non-Metro,54415,3,75,64,73791.07794
827,Tier 2,Manager,Metro,52110,1,67,56,98530.38668
828,Tier 1,Manager,Metro,49570,4,72,36,83977.23773
829,Tier 1,Manager,Metro,60301,3,66,41,100861.512
830,Tier 3,Executive,Metro,43612,3,48,39,71010.86265
831,Tier 1,Executive,Metro,59933,3,77,63,80641.20186
832,Tier 3,Executive,Non-Metro,53563,3,69,36,55882.25585
833,Tier 3,Executive,Non-Metro,50705,3,74,28,55436.85339
834,Tier 3,Executive,Metro,56493,1,73,58,74613.2965
835,Tier 3,Executive,Metro,61040,3,54,36,78423.93882
836,Tier 2,Executive,Metro,58049,2,51,42,65084.427
837,Tier 1,Executive,Metro,54506,2,65,36,68699.57806
838,Tier 1,Executive,Non-Metro,55502,1,47,56,81558.03427
839,Tier 1,Executive,Non-Metro,43496,1,57,35,59786.34018
840,Tier 3,Executive,Non-Metro,55109,2,68,59,62624.1602
841,Tier 1,Executive,Metro,52417,3,73,21,72336.44686
842,Tier 1,Executive,Metro,48990,4,83,59,79310.36643
843,Tier 2,Manager,Non-Metro,62458,2,66,23,84342.95363
844,Tier 2,Manager,Non-Metro,50520,1,80,57,77117.50201
845,Tier 1,Executive,Metro,59420,2,46,53,76789.76378
846,Tier 2,Manager,Non-Metro,62279,1,84,60,105013.7226
847,Tier 1,Executive,Non-Metro,63285,2,62,51,86109.92692
848,Tier 2,Executive,Metro,71756,4,67,23,72141.43493
849,Tier 1,Executive,Non-Metro,44682,4,44,27,62625.75215
850,Tier 3,Executive,Metro,57576,2,43,55,79029.74739
851,Tier 1,Manager,Non-Metro,58364,2,74,37,94112.48165
852,Tier 3,Executive,Metro,58625,1,63,61,85704.68907
853,Tier 1,Manager,Non-Metro,60754,2,65,46,110450.4301
854,Tier 1,Executive,Non-Metro,52462,3,57,53,74631.45937
855,Tier 1,Manager,Non-Metro,52402,3,65,49,74672.78346
856,Tier 1,Executive,Non-Metro,53334,1,77,20,72656.07964
857,Tier 2,Manager,Non-Metro,62455,4,60,48,102188.4848
